UnitID,City,Zipcode,Battalion,StationArea,Box,OriginalPriority,Priority,ALSUnit,CallTypeGroup,NumAlarms,UnitType,UnitSequenceInCallDispatch,FirePreventionDistrict,SupervisorDistrict,Neighborhood,Delay
T13,SF,94109.0,B04,38,3362,3,3,False,Unknown,1,TRUCK,2.0,4.0,5.0,Pacific Heights,2.95
M17,SF,94124.0,B10,42,6495,3,3,True,Unknown,1,MEDIC,1.0,10.0,10.0,Bayview Hunters Point,4.7
M41,SF,94102.0,B03,01,1455,3,3,True,Unknown,1,MEDIC,2.0,3.0,6.0,Tenderloin,2.4333334
E11,SF,94110.0,B06,32,5626,3,3,False,Unknown,1,ENGINE,1.0,6.0,9.0,Bernal Heights,1.5
B04,SF,94109.0,B04,03,3223,3,3,False,Unknown,1,CHIEF,2.0,4.0,2.0,Western Addition,3.4833333
T08,SF,94105.0,B03,35,2122,3,3,False,Unknown,1,TRUCK,2.0,3.0,6.0,Financial District/South Beach,1.75
E33,SF,94112.0,B09,33,8324,3,3,False,,1,ENGINE,2.0,9.0,11.0,Oceanview/Merced/Ingleside,2.7166667
E36,SF,94102.0,B02,03,3114,3,3,False,,1,ENGINE,1.0,2.0,6.0,Tenderloin,1.7833333
E05,SF,94115.0,B04,05,3513,3,3,False,,1,ENGINE,1.0,4.0,5.0,Japantown,1.5166667
E06,SF,94114.0,B05,06,5415,3,3,False,,1,ENGINE,1.0,5.0,8.0,Castro/Upper Market,2.7666667
M07,SF,94110.0,B06,11,5525,1,1,True,,1,MEDIC,1.0,6.0,9.0,Mission,2.1833334
T15,SF,94112.0,B09,43,6218,3,3,False,,1,TRUCK,1.0,9.0,11.0,Excelsior,2.5
E03,SF,94109.0,B04,03,1557,3,3,False,,1,ENGINE,1.0,4.0,3.0,Nob Hill,2.4166667
E14,SF,94121.0,B07,14,7173,3,3,False,,1,ENGINE,1.0,7.0,1.0,Outer Richmond,4.95
B10,SF,94110.0,B06,07,5472,3,3,False,,1,CHIEF,6.0,6.0,9.0,Mission,1.4166666
D3,SF,94110.0,B06,07,5472,3,3,False,,1,CHIEF,4.0,6.0,9.0,Mission,2.5333333
E32,SF,94110.0,B06,07,5472,3,3,True,,1,ENGINE,8.0,6.0,9.0,Mission,1.8833333
RC2,SF,94116.0,B08,20,8635,3,3,True,,1,RESCUE CAPTAIN,2.0,8.0,7.0,West of Twin Peaks,5.35
E14,SF,94118.0,B07,31,7145,3,3,False,,1,ENGINE,1.0,7.0,1.0,Inner Richmond,2.0
M12,SF,94118.0,B07,31,7145,3,3,True,,1,MEDIC,2.0,7.0,1.0,Inner Richmond,1.8166667
T06,SF,94114.0,B05,06,5233,3,3,False,,1,TRUCK,2.0,5.0,8.0,Castro/Upper Market,2.0833333
M41,SF,94133.0,B01,02,1311,2,2,True,,1,MEDIC,1.0,1.0,3.0,North Beach,4.4666667
B05,SF,94131.0,B05,20,5278,3,3,False,,1,CHIEF,3.0,5.0,7.0,Inner Sunset,1.8
B01,SF,94109.0,B04,03,1544,3,3,False,,1,CHIEF,4.0,4.0,6.0,Tenderloin,2.5666666
M28,SF,94111.0,B01,13,1153,3,3,True,,1,MEDIC,2.0,1.0,3.0,Financial District/South Beach,3.8833334
T19,SF,94132.0,B08,19,8734,3,3,False,,1,TRUCK,1.0,8.0,7.0,Sunset/Parkside,3.3
E43,SF,94134.0,B09,43,6244,3,3,True,,1,ENGINE,2.0,9.0,10.0,Visitacion Valley,3.1
E36,SF,94103.0,B02,36,2335,3,3,False,,1,ENGINE,1.0,2.0,6.0,South of Market,3.3333333
M10,SF,94118.0,B07,31,7113,3,3,True,,1,MEDIC,2.0,7.0,1.0,Inner Richmond,3.9666667
E21,SF,94117.0,B05,21,4252,3,3,False,,1,ENGINE,1.0,5.0,5.0,Lone Mountain/USF,3.25
M36,SF,94103.0,B02,06,5226,3,3,True,,1,MEDIC,2.0,2.0,9.0,Mission,4.2833333
M10,SF,94115.0,B05,21,4256,3,3,True,,1,MEDIC,1.0,5.0,2.0,Lone Mountain/USF,2.3
E18,SF,94116.0,B08,18,7556,3,3,False,,1,ENGINE,2.0,8.0,4.0,Sunset/Parkside,2.8
M38,SF,94109.0,B04,38,3361,3,3,True,,1,MEDIC,1.0,4.0,2.0,Pacific Heights,2.3833334
E07,SF,94110.0,B02,07,5246,3,3,False,,1,ENGINE,1.0,2.0,9.0,Mission,2.45
M38,SF,94109.0,B01,41,1564,1,1,True,,1,MEDIC,1.0,1.0,3.0,Russian Hill,6.25
M01,SF,94103.0,B02,07,5236,1,1,True,,1,MEDIC,1.0,2.0,9.0,Mission,3.6166666
M41,SF,94121.0,B07,14,0722,3,3,True,,1,MEDIC,2.0,7.0,1.0,Outer Richmond,4.65
B08,SF,94122.0,B08,12,7328,3,3,False,,1,CHIEF,3.0,8.0,7.0,Inner Sunset,4.1833334
E01,SF,94103.0,B03,01,2213,3,3,False,,1,ENGINE,1.0,3.0,6.0,South of Market,1.95
E44,SF,94131.0,B09,20,5362,3,3,True,,1,ENGINE,1.0,8.0,7.0,Twin Peaks,3.55
M03,SF,94102.0,B02,03,1554,3,3,True,,1,MEDIC,3.0,2.0,6.0,Tenderloin,1.5666667
M17,SF,94124.0,B10,17,6625,3,3,True,,1,MEDIC,2.0,10.0,10.0,Bayview Hunters Point,2.7833333
M07,SF,94134.0,B09,43,6153,3,3,True,,1,MEDIC,2.0,9.0,9.0,Excelsior,4.5333333
B05,SF,94117.0,B05,21,3632,3,3,False,,1,CHIEF,2.0,5.0,5.0,Hayes Valley,2.0833333
